"2073","00000","Головной Офис НБ ВЭД РУ","г.Ташкент, Юнус-Абадский р-он, ул.Амир-Темур, д. 101",,
"2074","00001","ТОШКЕНТ Ш., МАРКАЗИЙ БАНКНИНГ ТОШКЕНТ ШАХАР ХИСОБ-КИТОБ МАРКАЗИ","100001, Тошкент ш., Миробод т., Узбекистон шох к., 6",,
"2075","00002","ТОШКЕНТ Ш., МАРКАЗИЙ БАНКНИНГ КЛИРИНГ МАРКАЗИ","100001, Тошкент ш., Миробод т., Узбекистон шох к., 6",,
"2076","00014","ТОШКЕНТ Ш., МАРКАЗИЙ БАНКНИНГ ТОШКЕНТ ШАХАР ХИСОБ-КИТОБ КАССА МАРКАЗИ","100001, Тошкент ш., Миробод т., Узбекистон шох к., 6",,
"2077","00015","НУКУС Ш., МАРКАЗИЙ БАНКНИНГ КОРАКАЛПОГИСТОН РЕСП. ХИСОБ-КИТОБ КАССА МАРКАЗИ","230100, Нукус ш., Коракалпогистон к., 18",,
"2078","00016","АНДИЖОН Ш., МАРКАЗИЙ БАНКНИНГ АНДИЖОН ВИЛОЯТ ХИСОБ-КИТОБ КАССА МАРКАЗИ","170100, Андижон ш., Навоий шох к., 17",,
"2079","00017","БУХОРО Ш., МАРКАЗИЙ БАНКНИНГ БУХОРО ВИЛОЯТ ХИСОБ-КИТОБ КАССА МАРКАЗИ","200114, Бухоро ш., Мустакиллик к., 28/1",,
"2080","00018","ЖИЗЗАХ Ш., МАРКАЗИЙ БАНКНИНГ ЖИЗЗАХ ВИЛОЯТ ХИСОБ-КИТОБ КАССА МАРКАЗИ","130100, Жиззах ш., Ш.Рашидов шох к., 16",,
"2081","00019","КАРШИ Ш., МАРКАЗИЙ БАНКНИНГ КАШКАДАРЁ ВИЛОЯТ ХИСОБ-КИТОБ КАССА МАРКАЗИ","180100, Карши ш., Мустакиллик шох к., 3",,
"2082","00020","НАВОИЙ Ш., МАРКАЗИЙ БАНКНИНГ НАВОИЙ ВИЛОЯТ ХИСОБ-КИТОБ КАССА МАРКАЗИ","210109, Навоий ш., Галаба шох к., 220",,
"2083","00021","НАМАНГАН Ш., МАРКАЗИЙ БАНКНИНГ НАМАНГАН ВИЛОЯТ ХИСОБ-КИТОБ КАССА МАРКАЗИ","160136, Наманган ш., Боборахим Машраб к., 2",,
"2084","00022","САМАРКАНД Ш., МАРКАЗИЙ БАНКНИНГ САМАРКАНД ВИЛОЯТ ХИСОБ-КИТОБ КАССА МАРКАЗИ","140100, Самарканд ш., Шохрух к., 19",,
"2085","00023","ГУЛИСТОН Ш., МАРКАЗИЙ БАНКНИНГ СИРДАРЁ ВИЛОЯТ ХИСОБ-КИТОБ КАССА МАРКАЗИ","120100, Гулистон ш., Узбекистон к., 93",,
"2086","00024","ТЕРМИЗ Ш., МАРКАЗИЙ БАНКНИНГ СУРХОНДАРЁ ВИЛОЯТ ХИСОБ-КИТОБ КАССА МАРКАЗИ","190112, Термиз ш., Ат-Термизий к., 7-А",,
"2087","00025","ТОШКЕНТ Ш., МАРКАЗИЙ БАНКНИНГ ТОШКЕНТ ВИЛОЯТ ХИСОБ-КИТОБ КАССА МАРКАЗИ","100019, Тошкент ш., Олмазор т., А.Кодирий к., 1-А",,
"2088","00026","ФАРГОНА Ш., МАРКАЗИЙ БАНКНИНГ ФАРГОНА ВИЛОЯТ ХИСОБ-КИТОБ КАССА МАРКАЗИ","150100, Фаргона ш., Ал-Фаргоний к., 9",,
"2089","00027","УРГАНЧ Ш., МАРКАЗИЙ БАНКНИНГ ХОРАЗМ ВИЛОЯТ ХИСОБ-КИТОБ КАССА МАРКАЗИ","220100, Урганч ш., Тинчлик к., 20",,
"2090","00028","Г.ТАШКЕНТ, УМГР ЦБ РЕСПУБЛИКИ УЗБЕКИСТАН ЦРБ","г. Ташкент, ул. Узбекистанская, д.6",,
"2091","00029","КУРГОНТЕПА Т., ""АГРОБАНК"" АТБ КОРАСУВ ФИЛИАЛИ","711311, Кургонтепа т., Корасув ш., Бобур шох к., 142",,
"2092","00031","ПАХТАОБОД Т., ""АГРОБАНК"" АТБ ПАХТАОБОД ФИЛИАЛИ","711527, Пахтаобод т., Пахтаобод ш., А Темур к., 8",,
"2093","00032","ПАХТАОБОД Т., ""МИКРОКРЕДИТБАНК"" АТБ ПАХТАОБОД ФИЛИАЛИ","711724, Пахтаобод т., Пахтаобод ш., А.Темур к., 43",,
"2094","00033","АСАКА Т., ""АГРОБАНК"" АТБ АСАКА ФИЛИАЛИ","170200, Асака т., Асака ш., А.Навоий к., 1",,
"2095","00034","АСАКА Т., ""МИКРОКРЕДИТБАНК"" АТБ АСАКА ФИЛИАЛИ","711090, Асака т., Асака ш., А.Навоий к., 15",,
"2096","00035","МАРХАМАТ Т., ""АГРОБАНК"" АТБ МАРХАМАТ ФИЛИАЛИ","711020, Мархамат т., Мархамат ш., Мухиддинов к., 109",,
"2097","00037","ШАХРИХОН Т., ""АГРОБАНК"" АТБ ШАХРИХОН ФИЛИАЛИ","711040, Шахрихон т., Шахрихон ш., Шахрихон шох к.",,
"2098","00038","ШАХРИХОН Т., ""МИКРОКРЕДИТБАНК"" АТБ ШАХРИХОН ФИЛИАЛИ","711040, Шахрихон т., Шахрихон ш., Xамза к., 10",,
"2099","00039","ШАХРИХОН Т., ""ХАМКОРБАНК"" АТ БАНКИНИНГ ШАХРИХОН ФИЛИАЛИ","711040, Шахрихон т., Шахрихон ш., Xамза к., 7",,
"2100","00040","ЖАЛОЛКУДУК Т., ""АГРОБАНК"" АТБ ЖАЛАКУДУК ФИЛИАЛИ","171100, Жалолкудук т., Узбекистон к., 41",,
"2101","00041","ЖАЛОЛКУДУК Т., ""МИКРОКРЕДИТБАНК"" АТБ ОХУНБОБОЕВ ФИЛИАЛИ","711200, Жалолкудук т., Охунбобоев ш., Узбекистон к., 93",,
"2102","00042","ХУЖАОБОД Т., ""АГРОБАНК"" АТБ ХУЖАОБОД ФИЛИАЛИ","711141, Хужаобод т., Xужаобод ш., Навоий шох к., 85",,
"2103","00045","ИЗБОСКАН Т., ""АГРОБАНК"" АТБ ИЗБОСКАН ФИЛИАЛИ","171200, Избоскан т., Пойтуг ш., Э.Кобулов к., 3",,
"2104","00047","БАЛИКЧИ Т., ""АГРОБАНК"" АТБ ЧИНОБОД ФИЛИАЛИ","711173, Баликчи т., Чинобод ш., Чинобод шох к., 39",,
"2105","00049","ОЛТИНКУЛ Т., ""АГРОБАНК"" АТБ ОЛТИНКУЛ ФИЛИАЛИ","711110, Олтинкул т., Олтинкул а.п., Туркистон шох к., 6",,
"2106","00050","ОЛТИНКУЛ Т., ""МИКРОКРЕДИТБАНК"" АТБ ОЛТИНКУЛ ФИЛИАЛИ","711061, Олтинкул т., Олтинкул кишлоги, Туркистон к., 65",,
"2107","00051","ХОНОБОД Ш., ""УЗСАНОАТКУРИЛИШБАНКИ"" АТБ XОНОБОД ФИЛИАЛИ","711315, Xонобод ш., Зиёкор к., 2",,
"2108","00053","БУЗ Т., ""АГРОБАНК"" АТБ БУЗ ФИЛИАЛИ","711070, Буз т., Буз кург., А.Икромов к., 79",,
"2109","00055","УЛУГНОР Т., ""АГРОБАНК"" АТБ УЛУГНОР ФИЛИАЛИ","170900, Улугнор т., Околтин кишлоги, Мустакиллик к., 1",,
"2110","00056","КУРГОНТЕПА Т., ""АГРОБАНК"" АТБ КУРГОНТЕПА ФИЛИАЛИ","711300, Кургонтепа т., Кургонтепа ш., Каххор Юнусов к., 8",,
"2111","00058","КУРГОНТЕПА Т., АТБ ""КИШЛОК КУРИЛИШ БАНК""НИНГ КУРГОНТЕПА ФИЛИАЛИ","711300, Кургонтепа т., Кургонтепа ш., Телман к., 100",,
"2112","00059","АНДИЖОН Ш., ""ИПОТЕКА-БАНК"" АТИБ АНДИЖОН ВИЛОЯТ ФИЛИАЛИ","710000, Андижон ш., Анисий к., 1",,
"2113","00062","АНДИЖОН Т., ""АГРОБАНК"" АТБ АНДИЖОН ФИЛИАЛИ","170600, Андижон т., Куйганёр шахарчаси, У.Юсупов к., 23",,
"2114","00063","АНДИЖОН Т., ""МИКРОКРЕДИТБАНК"" АТБ КУЙГАН-ЁР ФИЛИАЛИ","711520, Андижон т., Куйганёр шахарчаси, У.Юсупов к., 12",,
"2115","00064","БУЛОКБОШИ Т., ""АГРОБАНК"" АТБ БУЛОКБОШИ ФИЛИАЛИ","711141, Булокбоши т., Булокбоши а.п., Тошкечик к., 30-а",,
"2116","00066","БАЛИКЧИ Т., ""АГРОБАНК"" АТБ БАЛИКЧИ ФИЛИАЛИ","711170, Баликчи т., Баликчи кишлоги, Баликчи к., 9",,
"2117","00067","БАЛИКЧИ Т., ""МИКРОКРЕДИТБАНК"" АТБ БАЛИКЧИ ФИЛИАЛИ","711170, Баликчи т., Баликчи кишлоги, Баликчи к., 7",,
"2118","00068","АНДИЖОН Ш., ""ИПОТЕКА-БАНК"" АТИБ ""ИСТИКЛОЛ"" ФИЛИАЛИ","710000, Андижон ш., Истиклол к., 22",,
"2119","00069","АНДИЖОН Ш., ""АСАКА"" АТ БАНКИ (ОАЖ) АНДИЖОН ВИЛОЯТ ФИЛИАЛИ","170112, Андижон ш., Миллий тикланиш к., 41",,
"2120","00070","АСАКА Т., ""ХАМКОРБАНК"" АТ БАНКИНИНГ АСАКА ФИЛИАЛИ","711090, Асака т., Асака ш., Бобур к., 64",,
"2121","00071","КУРГОНТЕПА Т., ""ХАМКОРБАНК"" АТ БАНКИНИНГ КУРГОНТЕПА ФИЛИАЛИ","711321, Кургонтепа т., Кургонтепа ш., Мустакиллик к., 98",,
"2122","00072","ХУЖАОБОД Т., ""ХАМКОРБАНК"" АТ БАНКИНИНГ XУЖАОБОД ФИЛИАЛИ","711160, Xужаобод т., Хужаобод ш., Маданият саройи биносида",,
"2123","00073","АСАКА Т., ""АСАКА"" АТ БАНКИ (ОАЖ) АСАКА ФИЛИАЛИ","170200, Асака т., Асака ш., Гулом Ёкубов к., 14",,
"2124","00074","АНДИЖОН Ш., ТИФ МИЛЛИЙ БАНКИНИНГ АНДИЖОН БУЛИМИ","710021, Андижон ш., Навоий к., 39",,
"2125","00075","АНДИЖОН Ш., ""УЗСАНОАТКУРИЛИШБАНКИ"" АТБ АНДИЖОН МИНТАКАВИЙ ФИЛИАЛИ","710019, Андижон ш., Бобуршох к., 36",,
"2126","00076","АНДИЖОН Ш., ""УЗСАНОАТКУРИЛИШБАНКИ"" АТБ БУНЁДКОР ФИЛИАЛИ","710000, Андижон ш., Амир Темур шох к., 24",,
"2127","00077","АНДИЖОН Ш., ""АГРОБАНК"" АТБ АНДИЖОН ВИЛОЯТ ХУДУДИЙ ФИЛИАЛИ","710001, Андижон ш., Пушкин к., 47",,
"2128","00078","АНДИЖОН Ш., ""МИКРОКРЕДИТБАНК"" АТБ АНДИЖОН ВИЛОЯТИ ФИЛИАЛИ","710020, Андижан ш., Ш.Рашидов к., 48",,
"2129","00079","АНДИЖОН Ш., ""ХАМКОРБАНК"" АТ БАНКИНИНГ НОДИРАБЕГИМ ФИЛИАЛИ","710002, Андижон ш., Бозор к., 2",,
"2130","00081","АНДИЖОН Ш., ЧЕТ ЭЛ КАПИТАЛИ ИШТИРОКИДАГИ ""САВДОГАР"" ОАТБ АНДИЖОН ВИЛОЯТИ ФИЛИАЛИ","173000, Андижон ш., Байналминал к., 2",,
"2131","00082","АНДИЖОН Ш., АТБ ""КИШЛОК КУРИЛИШ БАНК""НИНГ АНДИЖОН МИНТАКАВИЙ ФИЛИАЛИ","710002, Андижон ш., Фитрат к., 236",,
"2132","00083","АНДИЖОН Ш., ЧЕТ ЭЛ КАПИТАЛИ ИШТИРОКИДАГИ ""НАМКОRBАNК"" АТ БАНКИНИНГ БОШ ОФИСИ","710011, Андижон ш., Бобуршох к., 85",,
"2133","00084","БУХОРО Ш., ТИФ МИЛЛИЙ БАНКИНИНГ БУХОРО БУЛИМИ","705014, Бухоро ш., Мухаммад Икбол к., 3",,
"2134","00085","КОРОВУЛБОЗОР Т., ""УЗСАНОАТКУРИЛИШБАНКИ"" АТБ КОРОВУЛБОЗОР ФИЛИАЛИ","706120, Коровулбозор т., Коровулбозор ш., Навоий к., 7",,
"2135","00086","БУХОРО Ш., ""УЗСАНОАТКУРИЛИШБАНКИ"" АТБ БУХОРО МИНТАКАВИЙ ФИЛИАЛИ","705007, Бухоро ш., Б.Накшбанд к., 257 ""А""",,
"2136","00087","КОГОН Ш., АТБ ""КИШЛОК КУРИЛИШ БАНК""НИНГ КОГОН ФИЛИАЛИ","706100, Когон ш., Дустлик к., 4",,
"2137","00088","БУХОРО Ш., ""ИПОТЕКА-БАНК"" АТИБ БУХОРО ВИЛОЯТ ФИЛИАЛИ","705000, Бухоро ш., Икбол к., 10",,
"2138","00089","БУХОРО Ш., ""АГРОБАНК"" АТБ БУХОРО ВИЛОЯТ ХУДУДИЙ ФИЛИАЛИ","705013, Бухоро ш., И.Муминов к., 29/1",,
"2139","00090","ОЛОТ Т., ""АГРОБАНК"" АТБ ОЛОТ ФИЛИАЛИ","706030, Олот т., Олот ш., Шифокорлар к., 20",,
"2140","00091","ВОБКЕНТ Т., ""АГРОБАНК"" АТБ ВОБКЕНТ ФИЛИАЛИ","706600, Вобкент т., Вобкент ш., Ф.Xужаев к., 20-а",,
"2141","00092","ГИЖДУВОН Т., ""АГРОБАНК"" АТБ ГИЖДУВОН ФИЛИАЛИ","706710, Гиждувон т., Гиждувон ш., С.Ёдгоров к., 1",,
"2142","00093","ШОФИРКОН Т., ""АГРОБАНК"" АТБ ШОФИРКОН ФИЛИАЛИ","706514, Шофиркон т., Шофиркон ш., Мустакиллик к., 11",,
"2143","00094","КОРАКУЛ Т., ""АГРОБАНК"" АТБ КОРАКУЛ ФИЛИАЛИ","706010, Коракул т., Коракул ш., Акмал Икромов к., 5",,
"2144","00095","РОМИТАН Т., ""АГРОБАНК"" АТБ РОМИТАН ФИЛИАЛИ","706400, Ромитон т., Ромитон ш., Шафигулин к., 6",,
"2145","00096","ЖОНДОР Т., ""АГРОБАНК"" АТБ ЖОНДОР ФИЛИАЛИ","706300, Жондор т., Жондор кург., М.Таробий к., 43",,
"2146","00097","БУХОРО Т., ""АГРОБАНК"" АТБ БУХОРО ФИЛИАЛИ","200400, Бухоро т., Галаосиё ш., М.Мухсин к., 56",,
"2147","00098","ПЕШКУ Т., ""АГРОБАНК"" АТБ ПЕШКУ ФИЛИАЛИ","201200, Пешку т., Мустакиллик к., 1",,
"2148","00099","КОРОВУЛБОЗОР Т., ""АГРОБАНК"" АТБ КОРОВУЛБОЗОР ФИЛИАЛИ","706727, Коровулбозор т., Коровулбозор ш., Бобур к., 17",,
"2149","00100","ПЕШКУ Т., ""МИКРОКРЕДИТБАНК"" АТБ ЯНГИБОЗОР ФИЛИАЛИ","706411, Пешку т., Янгибозор кург., Янгибозор к., 21",,
"2150","00101","ШОФИРКОН Т., ""МИКРОКРЕДИТБАНК"" АТБ ШОФИРКОН ФИЛИАЛИ","706005, Шофиркон т., Шофиркон ш., А.Темур к., 1",,
"2151","00104","ГИЖДУВОН Т., ""МИКРОКРЕДИТБАНК"" АТБ ГИЖДУВОН ФИЛИАЛИ","706710, Гиждувон т., Гиждуван ш., Й.Охунбобоев к., 23",,
"2152","00106","КОГОН Ш., ""МИКРОКРЕДИТБАНК"" АТБ КОГОН ФИЛИАЛИ","706100, Когон ш., Ал-Хоразмий к., 50",,
"2153","00108","ЖОНДОР Т., ""МИКРОКРЕДИТБАНК"" АТБ ЖОНДОР ФИЛИАЛИ","706300, Жондор т., Жондор кург., Махмуд Таробий к., 50",,
"2154","00109","БУХОРО Ш., ""МИКРОКРЕДИТБАНК"" АТБ БУХОРО ВИЛОЯТИ ФИЛИАЛИ","705006, Бухоро ш., А.Гиждувоний к., 21",,
"2155","00110","РОМИТОН Т., ""МИКРОКРЕДИТБАНК"" АТБ РОМИТОН ФИЛИАЛИ","706400, Ромитон т., Ромитон ш., Чорикулбой к., 28",,
"2156","00111","БУХОРО Ш., ОАТ ""ТУРОН"" БАНКИНИНГ БУХОРО ФИЛИАЛИ","200113, Бухоро ш., И.Муминов к., 29/1",,
"2157","00112","БУХОРО Ш., ЧЕТ ЭЛ КАПИТАЛИ ИШТИРОКИДАГИ ""САВДОГАР"" ОАТБ БУХОРО ВИЛОЯТИ ФИЛИАЛИ","200100, Бухоро ш., Ибн Сино к., 39",,
"2158","00114","КОРАКУЛ Т., ""САВДОГАР"" АТ БАНКИНИНГ КОРАКУЛ БУЛИМИ","706010, Коракул т., Коракул ш., М.Улугбек к., 2",,
"2159","00115","БУХОРО Ш., АТБ ""КИШЛОК КУРИЛИШ БАНК""НИНГ БУХОРО МИНТАКАВИЙ ФИЛИАЛИ","705017, Бухоро ш., Мухаммад Икбол к., 3/1",,
"2160","00116","БУХОРО Ш., АТ ХАЛК БАНКИ БУХОРО ВИЛОЯТ ФИЛИАЛИ","705000, Бухоро ш., М.Икбол к., 8",,
"2161","00117","Г.БУХАРА, ТЕКСТИЛЬНОЕ ОТД. N 909 НАРОДНОГО БАНКА ХЛБ","705018 г. Бухара, ул. Жомий, д. 3",,
"2162","00118","БУХОРО Ш., АТ ХАЛК БАНКИ Ф.XУЖАЕВ ФИЛИАЛИ","705411, Бухоро ш., Xужа Нуробод к., 8",,
"2163","00119","БУХОРО Ш., ""ИПОТЕКА-БАНК"" АТИБ ""САРДОР"" ФИЛИАЛИ","705000, Бухоро ш., Ж.Икромий к., 6",,
"2164","00120","БУХОРО Ш., ""АСАКА"" АТ БАНКИ (ОАЖ) БУХОРО ВИЛОЯТ ФИЛИАЛИ","200104, Бухоро ш., Б.Накшбанд к., 168/Б",,
"2165","00121","ЖИЗЗАХ Ш., ТИФ МИЛЛИЙ БАНКИНИНГ ЖИЗЗАХ БУЛИМИ","708006, Жиззах ш., Ш.Рашидов к., 39",,
"2166","00122","ЖИЗЗАХ Ш., ""ИПОТЕКА-БАНК"" АТИБ ЖИЗЗАХ ВИЛОЯТ ФИЛИАЛИ","708000, Жиззах ш., Ш.Рашидов к., 72",,
"2167","00123","ЖИЗЗАХ Т., ""АГРОБАНК"" АТБ ЖИЗЗАХ ФИЛИАЛИ","131100, Жиззах т., Учтепа дахаси, Пахтакор к., 4",,
"2168","00124","АРНАСОЙ Т., ""АГРОБАНК"" АТБ АРНАСОЙ ФИЛИАЛИ","708730, Арнасой т., Голиблар а.п., Xалклар Дустлиги к., 1",,
"2169","00125","ЗАРБДОР Т., ""АГРОБАНК"" АТБ ЗАРБДОР ФИЛИАЛИ","708100, Зарбдор т., Зарбдор кург., Янгимахалла к.",,
"2170","00126","ЖИЗЗАХ Ш., ""АГРОБАНК"" АТБ ЖИЗЗАХ ВИЛОЯТ ХУДУДИЙ ФИЛИАЛИ","708000, Жиззах ш., Байналминалчилар к., 18",,
"2171","00127","ПАХТАКОР Т., ""АГРОБАНК"" АТБ ПАХТАКОР ФИЛИАЛИ","708800, Пахтакор т., Пахтакор ш., Жабборов к., 23",,
"2172","00128","ГАЛЛАОРОЛ Т., ""АГРОБАНК"" АТБ ГАЛЛАОРОЛ ФИЛИАЛИ","704620, Галлаорол т., Галлаорол ш., Мустакиллик к., 27",,
"2173","00129","ДУСТЛИК Т., ""АГРОБАНК"" АТБ ДУСТЛИК ФИЛИАЛИ","708704, Дустлик т., Дустлик ш., Ш. Рашидов к., 1",,
"2174","00130","МИРЗАЧУЛ Т., ""АГРОБАНК"" АТБ МИРЗАЧУЛ ФИЛИАЛИ","708700, Мирзачул т., Гагарин ш., Оналбоев к., 1",,
"2175","00131","ЗОМИН Т., ""АГРОБАНК"" АТБ ЗОМИН ФИЛИАЛИ","708120, Зомин т., Зомин кург., Мустакиллик к., 54",,
"2176","00132","БАХМАЛ Т., ""АГРОБАНК"" АТБ БАХМАЛ ФИЛИАЛИ","131000, Бахмал т., Усмат кургони, 9 май к., 5",,
